"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
314,nob,   ,nb,"Bokmål, Norwegian; Norwegian Bokmål",norvégien bokmål,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
315,nog,   ,  ,Nogai,nogaï; nogay,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
316,non,   ,  ,"Norse, Old","norrois, vieux",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
317,nor,   ,no,Norwegian,norvégien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
318,nqo,   ,  ,N'Ko,n'ko,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
319,nso,   ,  ,Pedi; Sepedi; Northern Sotho,pedi; sepedi; sotho du Nord,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
320,nub,   ,  ,Nubian languages,"nubiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
321,nwc,   ,  ,Classical Newari; Old Newari; Classical Nepal Bhasa,newari classique,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
322,nya,   ,ny,Chichewa; Chewa; Nyanja,chichewa; chewa; nyanja,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
323,nym,   ,  ,Nyamwezi,nyamwezi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
324,nyn,   ,  ,Nyankole,nyankolé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
325,nyo,   ,  ,Nyoro,nyoro,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
326,nzi,   ,  ,Nzima,nzema,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
327,oci,   ,oc,Occitan (post 1500),occitan (après 1500),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
328,oji,   ,oj,Ojibwa,ojibwa,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
329,ori,   ,or,Oriya,oriya,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
330,orm,   ,om,Oromo,galla,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
331,osa,   ,  ,Osage,osage,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
332,oss,   ,os,Ossetian; Ossetic,ossète,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
333,ota,   ,  ,"Turkish, Ottoman (1500-1928)",turc ottoman (1500-1928),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
334,oto,   ,  ,Otomian languages,"otomi, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
335,paa,   ,  ,Papuan languages,"papoues, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
336,pag,   ,  ,Pangasinan,pangasinan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
337,pal,   ,  ,Pahlavi,pahlavi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
338,pam,   ,  ,Pampanga; Kapampangan,pampangan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
339,pan,   ,pa,Panjabi; Punjabi,pendjabi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
340,pap,   ,  ,Papiamento,papiamento,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
341,pau,   ,  ,Palauan,palau,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
342,peo,   ,  ,"Persian, Old (ca.600-400 B.C.)","perse, vieux (ca. 600-400 av. J.-C.)",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
343,per,fas,fa,Persian,persan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
344,phi,   ,  ,Philippine languages,"philippines, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
345,phn,   ,  ,Phoenician,phénicien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
